formatted_date,date,high,low,open,close,volume,adjclose
2025-01-02,1735828200,591.1300048828125,580.5,589.3900146484375,584.6400146484375,50204000,577.8541259765625
2025-01-03,1735914600,592.5999755859375,586.4299926757812,587.530029296875,591.9500122070312,37888500,585.0792846679688
2025-01-06,1736173800,599.7000122070312,593.5999755859375,596.27001953125,595.3599853515625,47679400,588.44970703125
2025-01-07,1736260200,597.75,586.780029296875,597.4199829101562,588.6300048828125,60393100,581.7977905273438
2025-01-08,1736346600,590.5800170898438,585.2000122070312,588.7000122070312,589.489990234375,47304700,582.6477661132812
2025-01-10,1736519400,585.9500122070312,578.5499877929688,585.8800048828125,580.489990234375,73105000,573.7523193359375
2025-01-13,1736778600,581.75,575.3499755859375,575.77001953125,581.3900146484375,47910100,574.6419067382812
2025-01-14,1736865000,585.0,578.3499755859375,584.3599853515625,582.1900024414062,48420600,575.4326171875
2025-01-15,1736951400,593.9400024414062,589.2000122070312,590.3300170898438,592.780029296875,56900200,585.8997192382812
2025-01-16,1737037800,594.3499755859375,590.9299926757812,594.1699829101562,591.6400146484375,43319700,584.7728881835938
2025-01-17,1737124200,599.3599853515625,595.6099853515625,596.9600219726562,597.5800170898438,58070600,590.6439819335938
2025-01-21,1737469800,603.0599975585938,598.6699829101562,600.6699829101562,603.0499877929688,42532900,596.0504150390625
2025-01-22,1737556200,607.8200073242188,605.3599853515625,605.9199829101562,606.4400024414062,48196000,599.401123046875
2025-01-23,1737642600,609.75,605.52001953125,605.7999877929688,609.75,41152100,602.6727905273438
2025-01-24,1737729000,610.780029296875,606.7999877929688,609.8099975585938,607.969970703125,34604700,600.9133911132812
2025-01-27,1737988200,599.6900024414062,594.6400146484375,594.8099975585938,599.3699951171875,70361100,592.4132080078125
2025-01-28,1738074600,605.3699951171875,597.25,600.6199951171875,604.52001953125,44433300,597.5034790039062
2025-01-29,1738161000,604.1300048828125,599.219970703125,603.719970703125,601.8099975585938,37177400,594.8248901367188
2025-01-30,1738247400,606.5999755859375,600.719970703125,603.9600219726562,605.0399780273438,39281300,598.0173950195312
2025-01-31,1738333800,609.9600219726562,601.0499877929688,607.5,601.8200073242188,66566900,594.8347778320312
2025-02-03,1738593000,600.2899780273438,590.489990234375,592.6699829101562,597.77001953125,65857200,590.831787109375
2025-02-04,1738679400,602.2999877929688,597.280029296875,597.8300170898438,601.780029296875,33457800,594.7952880859375
2025-02-05,1738765800,604.3699951171875,598.5800170898438,600.6400146484375,604.219970703125,30653100,597.2068481445312
2025-02-06,1738852200,606.4500122070312,602.6300048828125,605.989990234375,606.3200073242188,35771500,599.2825317382812
2025-02-07,1738938600,608.1300048828125,600.0499877929688,606.8900146484375,600.77001953125,50788500,593.796875
2025-02-10,1739197800,605.5,602.739990234375,604.030029296875,604.8499755859375,26048700,597.82958984375
2025-02-11,1739284200,605.8599853515625,602.4299926757812,602.5499877929688,605.3099975585938,30056700,598.2843017578125
2025-02-12,1739370600,604.5499877929688,598.510009765625,599.2000122070312,603.3599853515625,45076100,596.3568725585938
2025-02-13,1739457000,609.9400024414062,603.2000122070312,604.47998046875,609.72998046875,40921300,602.6530151367188
2025-02-14,1739543400,610.989990234375,609.0700073242188,609.9400024414062,609.7000122070312,26910400,602.623291015625
2025-02-18,1739889000,611.489990234375,608.3800048828125,610.8800048828125,611.489990234375,26749000,604.3925170898438
2025-02-19,1739975400,613.22998046875,609.5599975585938,610.0800170898438,612.9299926757812,31011100,605.8158569335938
2025-02-20,1740061800,611.6799926757812,607.02001953125,611.5399780273438,610.3800048828125,36554000,603.29541015625
2025-02-21,1740148200,610.2999877929688,599.469970703125,610.1599731445312,599.9400024414062,76519800,592.9765625
2025-02-24,1740407400,603.030029296875,596.489990234375,602.02001953125,597.2100219726562,50737200,590.2783203125
2025-02-25,1740493800,597.8900146484375,589.5599975585938,597.1500244140625,594.239990234375,58266500,587.3427124023438
2025-02-26,1740580200,599.5800170898438,591.8599853515625,595.9299926757812,594.5399780273438,43321600,587.6392822265625
2025-02-27,1740666600,598.02001953125,584.6500244140625,596.8499755859375,585.0499877929688,74196700,578.2593383789062
2025-02-28,1740753000,594.719970703125,582.4400024414062,585.5599975585938,594.1799926757812,88744100,587.283447265625
2025-03-03,1741012200,597.3400268554688,579.9000244140625,596.1799926757812,583.77001953125,74249200,576.9942626953125
2025-03-04,1741098600,585.3900146484375,572.25,579.7100219726562,576.8599853515625,109648200,570.1644897460938
2025-03-05,1741185000,584.8800048828125,573.0800170898438,576.6900024414062,583.0599975585938,71230500,576.2925415039062
2025-03-06,1741271400,580.1699829101562,570.1199951171875,575.47998046875,572.7100219726562,80094900,566.0626220703125
2025-03-07,1741357800,577.3900146484375,565.6300048828125,570.9000244140625,575.9199829101562,81158800,569.2353515625
2025-03-10,1741613400,569.5399780273438,555.5900268554688,567.5900268554688,560.5800170898438,99326600,554.073486328125
2025-03-11,1741699800,564.02001953125,552.02001953125,559.4000244140625,555.9199829101562,88102100,549.467529296875
2025-03-12,1741786200,563.1099853515625,553.6900024414062,562.1699829101562,558.8699951171875,69588200,552.3832397460938
2025-03-13,1741872600,559.1099853515625,549.6799926757812,558.489990234375,551.4199829101562,74079400,545.019775390625
2025-03-14,1741959000,563.8300170898438,551.489990234375,556.1099853515625,562.8099975585938,62660300,556.2775268554688
2025-03-17,1742218200,569.7100219726562,562.3499755859375,562.7899780273438,567.1500244140625,49008700,560.567138671875
2025-03-18,1742304600,565.02001953125,559.0599975585938,564.7999877929688,561.02001953125,66041400,554.5083618164062
2025-03-19,1742391000,570.9500122070312,561.6300048828125,562.8300170898438,567.1300048828125,66556000,560.54736328125
2025-03-20,1742477400,570.5700073242188,562.5999755859375,563.3300170898438,565.489990234375,62958200,558.9264526367188
2025-03-21,1742563800,564.8900146484375,558.030029296875,559.280029296875,563.97998046875,83763000,559.11083984375
2025-03-24,1742823000,575.1500244140625,570.2000122070312,570.7999877929688,574.0800170898438,58766800,569.1236572265625
2025-03-25,1742909400,576.4099731445312,573.6900024414062,575.2999877929688,575.4600219726562,38355700,570.4917602539062
2025-03-26,1742995800,576.3300170898438,567.1900024414062,575.1900024414062,568.5900268554688,51848300,563.6810302734375
2025-03-27,1743082200,570.9000244140625,564.9400024414062,567.1799926757812,567.0800170898438,42164200,562.18408203125
2025-03-28,1743168600,566.27001953125,555.0700073242188,565.530029296875,555.6599731445312,71662700,550.8626708984375
2025-03-31,1743427800,560.7100219726562,546.8699951171875,549.8300170898438,559.3900146484375,95328200,554.5604858398438
2025-04-01,1743514200,562.9400024414062,553.6799926757812,557.4500122070312,560.969970703125,54609600,556.1267700195312
2025-04-02,1743600600,567.4199829101562,554.8099975585938,555.0499877929688,564.52001953125,76014500,559.6461791992188
2025-04-03,1743687000,547.969970703125,536.7000122070312,545.1099853515625,536.7000122070312,125986000,532.06640625
2025-04-04,1743773400,525.8699951171875,505.05999755859375,523.6699829101562,505.2799987792969,217965100,500.9176330566406
2025-04-07,1744032600,523.1699829101562,481.79998779296875,489.19000244140625,504.3800048828125,256611400,500.025390625
